Accuracy History Horizon Time
0.6630784016949463 1 1 208.33913207054138
0.7453436535628113 1 5 196.68567633628845
0.6393077924373445 1 10 204.1828818321228
0.5722695463226488 1 15 208.48180484771729
0.5896029311928601 1 20 208.6679036617279
0.4737696236732031 1 25 205.6180248260498
0.5184064306692171 1 30 214.8053436279297
0.4686243645074535 1 35 217.2377941608429
0.45015143235675725 1 40 224.38021802902222
0.456777775729879 1 45 232.50913381576538
0.45585354322774385 1 50 224.3085823059082
0.44771686742290395 1 55 224.79353213310242
0.43838007918423816 1 60 225.8327875137329
0.7316887337755044 5 1 264.64173102378845
0.7525356257512031 5 5 246.57714533805847
0.7080290116622723 5 10 264.39147686958313
0.6518211945334305 5 15 257.66999340057373
-0.038425592393034114 5 20 265.14517855644226
0.6364426599058237 5 25 272.34816670417786
0.6329127355932254 5 30 262.641704082489
0.5738834133413191 5 35 271.2092595100403
0.5738341636221477 5 40 272.89062237739563
0.5852213503974757 5 45 265.9459795951843
0.5068438578258319 5 50 274.70989060401917
0.0029453096920534216 5 55 283.5089044570923
-0.052558781429273616 5 60 283.597208738327
0.7610769671942252 10 1 308.7038471698761
0.8966061262852552 10 5 308.16745471954346
0.9017916132258348 10 10 307.0571572780609
0.8989316723328145 10 15 307.2368423938751
0.8949559420761561 10 20 317.71940302848816
0.9066746491362639 10 25 307.50952768325806
0.8498856013142148 10 30 306.098171710968
0.8715757655640036 10 35 314.14414525032043
0.8565180581985918 10 40 323.4636764526367
0.8451410787090934 10 45 316.7858417034149
0.8497552535941792 10 50 312.0642309188843
0.8107601658729531 10 55 317.93665981292725
0.8391448526058901 10 60 318.748193025589
0.7905942242357429 15 1 372.03726410865784
0.8944733862108682 15 5 371.9778971672058
0.9298289338525088 15 10 369.30422854423523
0.9454905748239248 15 15 367.2134339809418
0.9264445710385674 15 20 373.81134819984436
0.9350013161451763 15 25 377.7106349468231
0.9214664954898611 15 30 375.60657715797424
0.9001054734740888 15 35 384.43391132354736
